target_group,mean_score,non_zero_comments
target_race,0.3566939124789755,48352
target_gender,0.29831951370651244,40439
target_gender_women,0.20573785003983594,27889
target_religion,0.19314526837616927,26182
target_origin,0.17979285313818644,24372
target_race_black,0.16892649532296616,22899
target_sexuality,0.1652969990262327,22407
target_sexuality_gay,0.11408569152232288,15465
target_origin_specific_country,0.10419310100622621,14124
target_religion_muslim,0.09227920564194872,12509
target_gender_men,0.07398418365841423,10029
target_race_white,0.07227271385995455,9797
target_origin_immigrant,0.07026616306176045,9525
target_race_middle_eastern,0.0697128861872584,9450
target_race_latinx,0.06268258136858568,8497
target_race_asian,0.05182360057835876,7025
target_religion_christian,0.05150638850364425,6982
target_religion_jewish,0.05107852105402933,6924
target_sexuality_lesbian,0.050776063029301544,6883
target_sexuality_bisexual,0.04891705273097465,6631
target_origin_undocumented,0.04485968898462628,6081
target_race_other,0.035262179468264036,4780
target_gender_transgender_unspecified,0.03469414854377527,4703
target_sexuality_straight,0.03273923692053469,4438
target_disability,0.027413024875328276,3716
target_gender_transgender_men,0.024535985127917614,3326
target_sexuality_other,0.022898285579391543,3104
target_race_native_american,0.02079583345628375,2819
target_gender_transgender_women,0.01926141225766473,2611
target_origin_migrant_worker,0.01861223405824899,2523
target_origin_other,0.018442562483401693,2500
target_race_pacific_islander,0.01739502493434448,2358
target_religion_other,0.017173714184543658,2328
target_gender_non_binary,0.015609784885951194,2116
target_age,0.014790935111688159,2005
target_disability_cognitive,0.012799138363480775,1735
target_religion_hindu,0.00947947711646847,1285
target_disability_physical,0.008306530142524122,1126
target_religion_atheist,0.007030304818672725,953
target_religion_mormon,0.007030304818672725,953
target_age_young_adults,0.006897518368792234,935
target_disability_unspecific,0.006307356369323379,855
target_age_teenagers,0.005798341644781492,786
target_religion_buddhist,0.005377851220159934,729
target_gender_other,0.004802443270677801,651
target_age_children,0.004736050045737555,642
target_age_middle_aged,0.004131133996281979,560
target_disability_neurological,0.003998347546401488,542
target_age_seniors,0.003688512496680339,500
target_disability_other,0.0014311428487119714,194
target_disability_hearing_impaired,0.0010475375490572162,142
target_disability_visually_impaired,0.0009221281241700847,125
target_age_other,0.000730325474342707,99
