,hate_speech_score
target_race,0.17987994467601928
target_religion_jewish,0.15056497054579132
target_race_black,0.1415243525962746
target_origin_immigrant,0.11690202332833434
target_origin_undocumented,0.10309154637239767
target_disability,0.08842356821078366
target_race_latinx,0.07235533690486637
target_origin,0.06893145391087759
target_disability_cognitive,0.0664016940714631
target_origin_migrant_worker,0.06288959625269061
target_disability_physical,0.062115829741405934
target_race_asian,0.054971695003157184
target_race_middle_eastern,0.052189934602531886
target_disability_unspecific,0.03622596483797154
target_religion,0.03390975256164367
target_origin_specific_country,0.016170275832879805
target_origin_other,0.011766924891415634
target_disability_other,0.011135509268742
target_race_other,0.009971548157865391
target_disability_neurological,0.007568797186031299
target_disability_visually_impaired,0.0054397738659674195
target_disability_hearing_impaired,0.0035035767505634525
target_religion_muslim,-8.459088572367369e-05
target_gender_women,-0.0038771845212961656
target_age_other,-0.004123048463222578
target_race_white,-0.006225726349272829
target_age_seniors,-0.006781256553387001
target_age_middle_aged,-0.008858414827973757
target_gender_other,-0.010338744080905371
target_age_young_adults,-0.011179999475751365
target_age_teenagers,-0.013538943498141626
target_age_children,-0.015015003791058504
target_religion_buddhist,-0.016907277705559984
target_age,-0.01836661660289101
target_religion_mormon,-0.019122551752579653
target_religion_atheist,-0.022217265022348814
target_religion_hindu,-0.026218125063480303
target_religion_other,-0.033336288369849205
target_race_pacific_islander,-0.036715484065875305
target_gender_men,-0.047690052240874165
target_sexuality_straight,-0.05140085609235295
target_race_native_american,-0.06955269643030619
target_sexuality_gay,-0.07060258641207119
target_religion_christian,-0.08927194249822727
target_gender_transgender_women,-0.1025261235034181
target_gender_transgender_men,-0.10664487143173833
target_gender,-0.10737043158115007
target_gender_non_binary,-0.10912344126379983
target_sexuality_other,-0.13166086351067507
target_sexuality,-0.13963555778354683
target_sexuality_lesbian,-0.1468155970578009
target_sexuality_bisexual,-0.1601024710711446
target_gender_transgender_unspecified,-0.1852003645923918
